0.1543 	0.0517 	0.0340 	0.0364 	0.0323 	0.1425 	0.0375 	0.0467 	0.0332 	0.0251 	0.0965 	0.0251 	0.0281 	0.0238 	0.0196 	0.1067 	0.0401 	0.0338 	0.0030 	0.0298 
0.1182 	0.0333 	0.0246 	0.0317 	0.0285 	0.1364 	0.0325 	0.0389 	0.0412 	0.0238 	0.1332 	0.0293 	0.0293 	0.0404 	0.0333 	0.1126 	0.0222 	0.0436 	0.0198 	0.0270 
0.1443 	0.0518 	0.0277 	0.0301 	0.0346 	0.1363 	0.0279 	0.0493 	0.0313 	0.0278 	0.0967 	0.0221 	0.0238 	0.0252 	0.0257 	0.1227 	0.0425 	0.0355 	0.0101 	0.0345 
0.1438 	0.0477 	0.0313 	0.0269 	0.0379 	0.1336 	0.0315 	0.0387 	0.0340 	0.0291 	0.0938 	0.0241 	0.0224 	0.0222 	0.0251 	0.1289 	0.0404 	0.0411 	0.0106 	0.0367 
0.1444 	0.0461 	0.0240 	0.0406 	0.0337 	0.1187 	0.0303 	0.0299 	0.0360 	0.0226 	0.1165 	0.0266 	0.0273 	0.0352 	0.0273 	0.1204 	0.0414 	0.0375 	0.0047 	0.0368 
0.1096 	0.0217 	0.0138 	0.0321 	0.0421 	0.1213 	0.0267 	0.0317 	0.0425 	0.0204 	0.1296 	0.0275 	0.0292 	0.0388 	0.0338 	0.1396 	0.0338 	0.0467 	0.0163 	0.0429 
0.1410 	0.0443 	0.0435 	0.0292 	0.0239 	0.1848 	0.0491 	0.0748 	0.0357 	0.0251 	0.0886 	0.0207 	0.0295 	0.0199 	0.0184 	0.0857 	0.0267 	0.0369 	0.0038 	0.0184 
0.1419 	0.0430 	0.0273 	0.0351 	0.0366 	0.1153 	0.0285 	0.0335 	0.0302 	0.0231 	0.1128 	0.0258 	0.0215 	0.0335 	0.0318 	0.1301 	0.0444 	0.0331 	0.0140 	0.0386 
0.1326 	0.0286 	0.0213 	0.0411 	0.0416 	0.1243 	0.0276 	0.0354 	0.0276 	0.0338 	0.1040 	0.0255 	0.0276 	0.0291 	0.0213 	0.1394 	0.0504 	0.0400 	0.0062 	0.0426 
0.1242 	0.0327 	0.0172 	0.0394 	0.0347 	0.1136 	0.0245 	0.0308 	0.0332 	0.0252 	0.1214 	0.0236 	0.0243 	0.0359 	0.0376 	0.1409 	0.0434 	0.0412 	0.0128 	0.0434 
0.1172 	0.0278 	0.0188 	0.0382 	0.0324 	0.1293 	0.0290 	0.0301 	0.0410 	0.0290 	0.1276 	0.0254 	0.0350 	0.0425 	0.0246 	0.1261 	0.0348 	0.0453 	0.0058 	0.0401 
